# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.880000000000000000e+02,2.906544311677730641e-02,7.259595142987027572e-01,6.092263461032939587e-01,7.273334004249756291e-01,1.587177839730449617e-03,8.922357432421982454e-03,8.854424817113669757e-03,8.972535541514434221e-03
4.900000000000000000e+02,2.935647907406601503e-02,7.667963002626475566e-01,5.889785704241665698e-01,7.682073399752106235e-01,1.654760247120648725e-03,9.042360687859851698e-03,8.900432904944806378e-03,9.077877485235278862e-03
4.920000000000000000e+02,2.962583712206385417e-02,7.948322561632759076e-01,5.613207288769108683e-01,7.961660828792176403e-01,1.673164396061029447e-03,9.043699294946918113e-03,8.919167809020333779e-03,9.215971107597966880e-03
4.940000000000000000e+02,3.013630081101689381e-02,8.173195558092352098e-01,5.322079895026123886e-01,8.185519467160654594e-01,1.674204243518068657e-03,9.244686101772814357e-03,8.773880535095087557e-03,9.168573562037556426e-03
4.960000000000000000e+02,3.105675053788855070e-02,8.422188774954323387e-01,5.052507221520218250e-01,8.435378576902270442e-01,1.741413598069605157e-03,9.303090256670899783e-03,8.720444654815619201e-03,9.437986866469632793e-03
4.980000000000000000e+02,3.235515007244744307e-02,8.698682328114398787e-01,4.807607588475447669e-01,8.710937686717025175e-01,1.771222777125637960e-03,9.560876987489332762e-03,8.637842497523570695e-03,9.636157519272475075e-03
5.000000000000000000e+02,3.377867617873191175e-02,8.935175506605167461e-01,4.546965270867198705e-01,8.947035065096123896e-01,1.807404863919062025e-03,9.725610491749090217e-03,8.417098815940752057e-03,9.648670009013999432e-03
5.020000000000000000e+02,3.571363873417171542e-02,9.271908188340421964e-01,4.341613410990858846e-01,9.281932775984361728e-01,1.854446302427427765e-03,9.903190388677853007e-03,8.426441835481650669e-03,9.922352713217270567e-03
5.040000000000000000e+02,3.758715433979747944e-02,9.520718695154766209e-01,4.097234264168722606e-01,9.530431421225842303e-01,1.888208751637934562e-03,1.018039026507191851e-02,8.390973274102120696e-03,1.028051619140916105e-02
5.060000000000000000e+02,3.972332388413985643e-02,9.717755822046076908e-01,3.844745043378742233e-01,9.727681172541214893e-01,1.917409094804057960e-03,1.034380277852311666e-02,8.165897424337365679e-03,1.036591712729529637e-02
5.080000000000000000e+02,4.178072999823648215e-02,9.795628723526093040e-01,3.550398234890135840e-01,9.804933186770368181e-01,1.951583675169164724e-03,1.040199887002957874e-02,7.905751070429054006e-03,1.036502172336658915e-02
5.100000000000000000e+02,4.461481919878609176e-02,9.916319537376631077e-01,3.282230244678013831e-01,9.924769913391333631e-01,2.045434138263351343e-03,1.044077591143181653e-02,7.602103162143069616e-03,1.042034312689629240e-02
5.120000000000000000e+02,4.773064858891505613e-02,9.900157523179770047e-01,2.990939187575777924e-01,9.909665684786160833e-01,2.116961975681979757e-03,1.056129136665101206e-02,7.350480344439942228e-03,1.039716464617071630e-02
5.140000000000000000e+02,5.162633103391865708e-02,9.864339766402535625e-01,2.707422929404165735e-01,9.874362382563143248e-01,2.196740356009742930e-03,1.028915675298184076e-02,6.916093268686997024e-03,1.036035010930447947e-02
5.160000000000000000e+02,5.643725008731120124e-02,9.868966888855601471e-01,2.455668112453827101e-01,9.876542032034602014e-01,2.254671477579516491e-03,1.036132510043734876e-02,6.589417880518537614e-03,1.046874173215097369e-02
5.180000000000000000e+02,6.241739100213151287e-02,9.917923229113295713e-01,2.245011744934840847e-01,9.928340741962309313e-01,2.411562287584243652e-03,1.026005246382871716e-02,6.290850117384151619e-03,1.031958340531003923e-02
